id,Approve Loan
1601,0
1959,1
1174,1
634,0
2508,0
723,1
619,0
682,0
195,0
641,0
2375,1
711,1
575,0
1885,1
2072,1
2548,0
1724,0
192,1
2041,1
1005,0
1774,1
1263,0
454,0
2461,0
1474,0
1650,0
1787,0
1794,0
1146,0
565,0
2492,1
1675,0
1597,0
2191,1
1592,0
465,1
2434,0
398,0
1222,0
117,0
861,0
748,0
2370,1
817,0
353,0
2349,1
2278,1
1081,1
311,1
1093,1
1145,1
1540,0
2377,1
1358,0
579,1
1632,0
1376,1
2123,1
1322,0
597,0
33,1
1275,0
1615,1
2556,1
953,1
271,0
2294,1
938,0
1192,0
1523,1
53,0
2557,0
530,0
1045,0
182,1
1818,1
937,1
1715,0
314,0
1490,1
1205,0
2300,0
2153,1
2464,1
1857,1
1874,0
716,0
2288,0
1456,1
1150,1
913,0
2460,1
390,0
805,1
1242,0
2481,0
452,0
1101,0
1651,0
1767,0
562,1
1017,0
657,0
135,0
1872,0
536,0
402,0
1010,0
1504,0
951,1
518,1
1087,0
1027,0
1796,1
1070,0
687,1
2145,0
924,1
1515,0
712,1
501,1
317,1
326,1
2456,1
276,1
156,1
2060,1
2357,1
1916,0
418,0
1830,0
2313,0
652,1
296,0
1697,0
708,0
841,1
1689,1
1491,0
850,0
1806,0
776,0
1417,1
998,0
2221,0
2074,0
2208,0
2307,0
2138,0
2013,1
868,1
399,1
2050,0
2152,1
1487,0
2007,1
1719,1
457,1
818,0
104,0
1303,0
1507,1
1852,0
1063,1
224,1
1073,0
1118,1
2086,0
1573,0
971,1
2441,0
1246,0
2392,0
996,0
2114,0
1876,1
486,0
2317,1
2033,1
2062,0
1160,0
2297,0
1183,1
1136,1
1083,0
1696,0
2124,0
217,0
2490,1
1018,0
1058,1
977,0
22,1
1355,1
215,1
1319,1
731,1
1000,0
1568,0
2526,0
27,0
2206,0
1041,0
1538,0
1842,1
1912,1
1543,0
1042,0
1110,0
1937,1
259,0
2027,0
686,1
2053,1
482,0
2473,0
2236,1
2324,1
745,1
2472,1
2252,0
1377,1
1607,0
1228,1
1813,0
320,1
906,0
1495,1
70,0
578,0
446,1
289,0
1717,1
9,1
704,1
2430,0
1217,0
2487,1
1505,1
527,0
1611,0
692,1
1374,0
1032,0
1808,0
2102,0
1464,1
2242,0
1459,1
2192,0
302,0
1798,1
1909,1
1738,1
2363,0
1187,0
148,0
1255,0
330,1
1571,0
842,1
480,1
2096,1
2419,0
2561,0
1706,0
746,1
1749,0
2353,1
609,0
2054,0
333,1
1686,0
2079,0
1370,1
666,0
1714,1
1898,0
2119,0
57,1
1530,1
2503,0
981,1
2283,0
1687,1
2094,1
2469,0
966,1
1190,0
436,0
1618,0
1858,1
715,1
795,0
1197,0
958,0
1103,0
766,1
1960,1
1878,1
2348,0
569,0
2432,1
927,1
2087,0
438,0
982,0
1743,0
2559,0
1892,1
1056,0
1886,1
667,1
1148,0
443,1
2443,1
2178,1
1761,0
422,0
1082,1
1463,0
1873,1
2165,0
69,0
646,1
621,0
1091,1
303,0
132,1
1647,0
1244,0
14,0
1928,0
909,0
2295,1
921,0
204,1
41,1
2452,0
1964,0
1465,1
1953,0
1664,0
1015,0
926,0
4,1
1476,0
2522,0
558,0
567,0
1859,0
1643,1
76,0
1644,0
831,0
963,0
2291,1
251,1
23,0
2160,1
899,1
703,1
563,0
610,0
2552,0
232,0
98,0
1917,0
2148,0
1453,1
478,0
2380,0
2029,1
2168,1
543,0
812,0
914,1
1239,0
616,0
2175,1
113,0
2549,0
1780,0
248,1
581,0
1165,0
405,1
670,1
1225,0
1897,1
124,0
1988,0
1343,1
10,0
582,0
385,0
1055,0
2318,0
477,1
1357,0
2320,1
638,0
949,0
2429,0
1175,1
2228,0
1280,1
2458,1
1980,1
2321,1
2523,1
2258,0
935,1
674,0
2407,0
162,0
2005,1
728,1
1078,1
1604,0
1906,0
1804,0
1427,1
2374,0
2250,1
1784,1
2403,0
789,0
1694,0
379,1
1284,0
898,0
1496,1
1977,0
245,0
39,1
792,1
1572,0
1098,0
2112,1
145,0
815,0
1760,1
757,0
1775,0
2101,1
778,0
2384,1
37,1
414,0
252,1
2447,1
1691,1
1969,0
1652,1
1386,1
2489,1
137,1
2245,0
1325,1
489,0
1587,1
1455,0
440,1
2368,0
1762,0
2314,1
2172,0
547,0
1833,0
1704,0
1840,0
700,1
2319,1
487,1
684,1
710,1
1052,1
602,1
2270,0
125,0
2495,0
1709,0
2184,0
196,1
1283,1
1655,0
391,0
1138,0
220,1
1038,1
351,0
2428,1
17,1
58,0
1949,0
2378,0
1273,1
1371,1
425,0
764,1
2426,0
411,1
191,1
2554,0
2497,0
2065,1
361,1
1829,0
1471,0
1521,1
2130,0
149,1
107,0
